"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1905260982147874986","Thu Mar 27 14:09:50 +0000 2025","0","Negeri Oplosan: Dari Beras Oplosan sampai Pertamax Oplosan https://t.co/tswGLlkVkP","1905260982147874986","","","in","","0","0","0","https://x.com/Riadi_ading/status/1905260982147874986","1752184646522306560","Riadi_ading"
"1904889178124595373","Thu Mar 27 13:26:01 +0000 2025","0","@HumorJonTampan Hanya di era Prabowo motor langsung disita. Pertamax oplosan Minya 1 ltr jadi 750ml","1905249955260113293","","HumorJonTampan","in","","0","0","0","https://x.com/ugly1897/status/1905249955260113293","993890997657485312","ugly1897"
"1905209151829250350","Thu Mar 27 11:49:35 +0000 2025","0","@AgusHerd klo di kendari warga curiganya ada settingan pasca kasus pertamax oplosan itu. kasus pertamina pecah org2 tinggalkan pertamax. tdk lama pertalite yg ktahuan troplos (bnyak rusak motornya org). jdi org2 balik ngantri ke pertamax lg haha","1905225684970303623","","AgusHerd","in","Indonesia","0","1","0","https://x.com/nvrmndiva/status/1905225684970303623","610718025","nvrmndiva"
"1905144493638341116","Thu Mar 27 06:26:57 +0000 2025","0","Ridwan kamil hanya neneng benarkah tiket pesawat turun saat lebaran ? #Mudik2025 #Lebaran2025 @pandji @BBC_Travel psk digrebek andre rosiade pertamina pertamax oplosan ? https://t.co/OIMwiau6tM","1905144493638341116","https://pbs.twimg.com/media/GnBu0VPbUAAorrB.jpg","","in","Jakarta Capital Region, Indonesia","0","0","0","https://x.com/Zaindamai/status/1905144493638341116","2857645520","Zaindamai"
"1905131801783189655","Thu Mar 27 05:36:32 +0000 2025","0","Bukan pertamax oplosan.","1905131803662483486","","SpaceyJIHOO","in","2006.","1","0","0","https://x.com/SpaceyJIHOO/status/1905131803662483486","2495733236","SpaceyJIHOO"
"1905129049590030779","Thu Mar 27 05:25:35 +0000 2025","1","rezim monyet Kenapa utak-atik Hak Rakyat sementara : - Pagar Laut n PIK2 bagaimana? - Firli B Yaqut HQ bagaimana? - Kasus Judol Kabarnya gimana? - Pertamax Oplosan bgaimana? - dll kasus yg tdk jelas status hukumnya. Ini yg harus diselesaikan bukan sita hak milik rakyat.","1905129049590030779","","","in","","0","0","0","https://x.com/halojudass/status/1905129049590030779","1508120329721327625","halojudass"
"1905104311966892438","Thu Mar 27 03:47:17 +0000 2025","0","pertamax (no oplosan) https://t.co/ITLfWKNx8X","1905104311966892438","https://pbs.twimg.com/media/GnBKRUIa4AA4s75.jpg","","es","밴드는 하나다!","0","0","0","https://x.com/deupororo/status/1905104311966892438","1826013908748087296","deupororo"
"1904724610400346511","Thu Mar 27 03:17:26 +0000 2025","0","@SJoprawiro @DokterTifa Kalo mau bego itu jgn ½ ½ tapi harus full biar gak kayak Pertamax oplosan","1905096799318430157","","SJoprawiro","in","","0","0","0","https://x.com/neo_ottoman616/status/1905096799318430157","1096999774840975360","neo_ottoman616"
"1905089831983608068","Thu Mar 27 02:49:45 +0000 2025","0","Gara gara isi Pertamax oplosan ini ","1905089831983608068","","","in","","0","0","0","https://x.com/BangJarwoSopo7/status/1905089831983608068","1771257340521771011","BangJarwoSopo7"
"1904939051926642990","Thu Mar 27 02:03:01 +0000 2025","3","@H4T14K4LN4L42 Pernah dapat cerita dr pak kades ada warung melaporkan anak2 mudanya banyak yg memborong obat batuk di wilayahnya. Setelah diselidiki ternyata obat tsb dipakai untuk membuat racikan minuman keras. Mungkin mereka terinspirasi membuat oplosan seperti pertalite dan pertamax.","1905078071818093020","","H4T14K4LN4L42","in","Shinjuku-ku, Tokyo","0","0","0","https://x.com/AfienKbm/status/1905078071818093020","1720271027195039744","AfienKbm"
